Start Year,Latitude,Longitude,Total Deaths
2023,36.206985,-90.22936,4688
2023,52.4739,-19.021173,1249
2023,65.1591,25.548382,2177
2023,-40.891083,-66.59382,4139
2023,65.1591,25.963425,3954
2023,-40.89086,95.859245,1185
2023,-40.890923,116.89539,249
2023,65.1591,-19.021173,1085
2023,65.1591,-77.29668,3250
2023,-40.891083,-175.14722,4562
2023,-40.891575,-19.023478,2946
2023,15.404532,-19.024794,1346
2023,-38.41652,174.30028,4140
2023,-40.890755,-62.07153,4999
2023,65.1591,165.11427,4999
2023,-35.673687,-19.02461,4562
2023,65.1591,77.448395,4999
2023,65.1591,-51.924427,2384
2023,65.1591,147.1133,1749
2023,-40.890896,-19.024595,529
2023,-4.037741,-172.08636,2968
2023,33.029213,-106.33009,4689
2023,-40.890896,-115.73331,1257
2023,52.4739,-66.59037,708
2023,44.858147,174.53313,4688
2023,-40.895164,96.08105,2308
2023,43.673115,7.248806,3845
2023,-40.890896,-51.93039,85
2023,65.1591,-51.924427,2745
2023,65.1591,-95.71008,1799
2023,65.1591,-19.019857,1699
2023,46.30182,-106.32971,1640
2023,-30.55885,-147.42793,2416
2023,-40.89086,48.08082,843
2023,-35.67783,115.64869,2653
2023,-40.891132,47.55202,2308
2023,-13.253461,-172.08636,2002
2023,4.810353,-133.95546,4562
2023,-16.287052,122.25538,1360
2023,39.88722,174.53313,1800
2023,-40.891575,43.990887,2890
2023,6.0311155,157.05063,2632
2023,65.1591,-95.71342,75
2023,-40.890755,-51.929173,4999
2023,-13.754237,-144.46104,4689
2023,65.1591,5.327004,2997
2023,-30.556164,74.667366,2002
2023,32.249435,28.549486,4139
2023,20.017183,127.142746,1989
2023,-25.273262,142.35847,23
2023,-30.558434,48.08116,4139
2023,37.271225,-133.95546,1989
2023,-40.890755,5.327348,4999
2023,-21.178717,161.11894,3000
2023,19.367409,136.61847,1099
2023,-40.892647,12.559374,3549
2023,43.510063,147.68898,611
2023,-16.289236,-140.68304,1569
2023,1.0001805,-95.71482,3549
2023,65.1591,50.586586,4688
2023,65.1591,41.9764,922
2023,32.243595,-90.22961,3252
2023,65.08952,-90.228226,2499
2023,-40.891575,-75.0182,3000
2023,14.938448,151.6436,3252
2023,-40.890896,-19.024794,1035
2023,-9.186688,-144.46104,4562
2023,-40.891575,-147.42793,2748
2023,-40.891083,42.813766,4562
2023,-9.644761,-172.08636,1500
2023,-30.560001,-9.216048,3549
2023,-40.888824,53.6977,1992
2023,-40.89108,-175.14722,1400
2023,-13.251281,161.11879,1400
2023,-40.891117,165.16048,5000
2023,29.722713,-90.22912,4999
2023,13.837844,-133.95546,2000
2023,-40.89108,-175.14722,1569
2023,2.7668865,13.034096,3845
2023,-40.89086,138.26741,159
2023,-21.17594,104.11662,1642
2023,-40.89108,-9.214916,1642
2023,-38.41066,-175.14722,4999
2023,-40.89086,57.93697,258
2023,23.203312,106.66812,2000
2023,-40.891644,133.1356,3253
2023,65.1591,-133.95546,4138
2023,52.4739,145.46793,1799
2023,-40.891083,-175.14722,4562
2023,-40.89086,20.427225,475
2023,43.912014,-133.95546,185
2023,-40.890896,-175.14722,306
2023,-40.888885,118.799,1992
2023,-40.89086,25.957808,56
2023,51.196575,92.4665,2203
2023,36.52952,-80.78,2575
2023,9.611937,-133.95546,4139
2023,0.49415335,86.03271,2444
2023,52.4739,151.64375,4560
2023,-40.89108,-175.14722,2180
2023,-21.179718,25.963955,3846
2023,-9.6448765,-144.46104,3846
2023,28.789358,130.44562,3955
2023,-40.891083,-175.14722,4139
2023,65.1591,163.99966,176
2023,10.603932,101.725395,4999
2023,-40.888824,161.15329,2003
2023,-40.890896,-175.14722,290
2023,6.0352435,-106.330444,727
2023,48.60394,-3.748727,1989
2023,-0.79276466,110.05015,3846
2023,43.510033,-133.95546,843
2023,-9.1909485,-51.929173,3549
2023,-13.253358,-9.216232,1185
2023,-40.890755,5.7992187,4999
2023,-40.89086,133.136,578
2023,65.1591,65.51461,1799
2023,-40.891575,34.547638,2387
2023,-40.891575,-175.14722,3272
2023,65.1591,44.72922,2997
